Pays;Pop2018
Aruba;13,55094714
Afghanistan;2,58492694
Angola;2,216373648
Albanie;13,74473591
Andorre;
Le monde arabe;4,557876424
Émirats arabes unis;1,085000985
Argentine;11,11778888
Arménie;11,25381766
Samoa américaines;
Antigua-et-Barbuda;8,79982552
Australie;15,65647523
Autriche;19,00156646
Azerbaïdjan;6,195182751
Burundi;2,24694046
Belgique;18,78874374
Bénin;3,253605297
Burkina Faso;2,406980829
Bangladesh;5,15839064
Bulgarie;21,02191443
Bahreïn;2,426333878
Bahamas;7,257602357
Bosnie-Herzégovine;16,47031747
Bélarus;14,84514817
Belize;4,736458777
Bermudes;
Bolivie;7,191947392
Brésil;8,922837832
Barbade;15,80269396
Brunéi Darussalam;4,873147568
Bhoutan;6,003011713
Botswana;4,223874346
République centrafricaine;2,825773707
Canada;17,23200668
Europe centrale et les pays baltes;18,4601185
Suisse;18,62321656
Îles Anglo-Normandes;17,29746216
Chili;11,52980166
Chine;10,92088354
Côte d'Ivoire;2,858943015
Cameroun;2,728877355
Congo, République démocratique du;3,017840622
Congo, République du;2,681719539
Colombie;8,47804702
Comores;3,007009306
Cabo Verde;4,609327157
Costa Rica;9,549847673
Petits états des Caraïbes;8,796658749
Cuba;15,18621142
Curacao;16,68489481
Îles Caïmans;
Chypre;13,71906177
République tchèque;19,42087689
Allemagne;21,461962
Djibouti;4,527579378
Dominique;
Danemark;19,81295264
République dominicaine;7,082817476
Algérie;6,362496545
Asie de l’Est et Pacifique (hors revenu élevé);9,496237874
de dividende précoce démographique;5,817805684
Asie de l’Est et Pacifique;10,744358
Europe et Asie centrale (hors revenu élevé);12,0469774
Europe et Asie centrale;16,3488906
Équateur;7,157289727
Égypte, République arabe d’;5,229779346
Zone euro;20,60028759
Érythrée;
Espagne;19,37850752
Estonie;19,62635685
Éthiopie;3,501132998
Union européenne;19,93452168
Fragile et les situations de conflit touchées;3,450848012
Finlande;21,72078755
Fidji;5,449680413
France;20,03462475
Îles Féroé;
Micronésie, États fédérés de;3,996803977
Gabon;3,563907468
Royaume-Uni;18,39586567
Géorgie;14,86549143
Ghana;3,068898007
Gibraltar;
Guinée;2,926022448
Gambie;2,589980939
Guinée-Bissau;2,823716336
Guinée équatoriale;2,457877347
Grèce;21,65527208
Grenade;9,621906796
Groenland;
Guatemala;4,812072508
Guam;9,849910719
Guyane;6,450271243
Revenu élevé;17,93204393
Chine, RAS de Hong Kong;16,87504833
Honduras;4,690617659
Pays pauvres très endettés (PPTE);3,028409238
Croatie;20,44543301
Haïti;4,949403848
Hongrie;19,15772538
BIRD seulement;8,483780139
BIRD et IDA;7,224820741
IDA totale;3,557491151
IDA mélange;3,498860383
Indonésie;5,857165613
IDA seulement;3,587592591
Île de Man;
Inde;6,179955649
Non classifié;
Irlande;13,8658017
Iran, République islamique d’;6,184573806
Iraq;3,323599663
Islande;14,79509256
Israël;11,97698602
Italie;22,7516796
Jamaïque;8,796642551
Jordanie;3,846490398
Japon;27,57636991
Kazakhstan;7,391846271
Kenya;2,339186612
République kirghize;4,494727976
Cambodge;4,568680018
Kiribati;3,952627172
Saint-Kitts-et-Nevis;
Corée, République de;14,41855583
Koweït;2,550472384
Amérique latine et Caraïbes (hors revenu élevé);8,24270282
République démocratique populaire lao;4,075149964
Liban;7,002368134
Libéria;3,2534318
Libye;4,392040259
Sainte-Lucie;9,806530356
Amérique latine et Caraïbes;8,438306072
Pays les moins avancés : classement de l’ONU;3,540249106
Faible revenu;3,291171653
Liechtenstein;
Sri Lanka;10,47321975
Revenu intermédiaire, tranche inférieure;5,529415473
Revenu faible et intermédiaire;7,156651231
Lesotho;4,901087497
de dividende tardif démographique;10,72325299
Lituanie;19,70503316
Luxembourg;14,18315418
Lettonie;20,04362032
Région administrative spéciale de Macao, Chine;10,48420293
Saint-Martin (fr);
Maroc;7,012904821
Monaco;
Moldova;11,46955634
Madagascar;2,986717126
Maldives;3,703344606
Afrique du Nord et Moyen-Orient;5,182161356
Mexique;7,223684981
Îles Marshall;
Revenu intermédiaire;7,637014665
Macédoine du Nord;13,67018138
Mali;2,507229758
Malte;20,3493243
Myanmar;5,784641933
Afrique du Nord et Moyen-Orient (hors revenu élevé);5,375436375
Monténégro;14,97493664
Mongolie;4,083538787
Mariannes;
Mozambique;2,890764457
Mauritanie;3,141112158
Maurice;11,47417307
Malawi;2,64543493
Malaisie;6,671754625
Amérique du Nord;15,95257736
Namibie;3,636031681
Nouvelle-Calédonie;9,174157925
Niger;2,595007883
Nigéria;2,747377005
Nicaragua;5,247497448
Pays-Bas;19,19619263
Norvège;17,04922216
Népal;5,727670776
Nauru;
Nouvelle-Zélande;15,65242453
Pays membres de l'OCDE;17,11861841
Oman;2,392786956
Autres petits états;5,492465783
Pakistan;4,312774311
Panama;8,10473108
Pérou;8,088392792
Philippines;5,122568768
Palaos;
Papouasie-Nouvelle-Guinée;3,445269251
Pologne;17,51781676
de Pré-dividende démographique;2,753813638
Porto Rico;18,67485021
Corée, République démocratique de;9,33452041
Portugal;21,95385754
Paraguay;6,430215009
Cisjordanie et Gaza;3,133305737
Petits états insulaires du Pacifique;4,537317377
de Post-dividende démographique;18,95451697
Polynésie française;8,290508105
Qatar;1,370070339
Roumanie;18,33870139
Fédération de Russie;14,67470832
Rwanda;2,938196078
Asie du Sud;5,840560482
Arabie saoudite;3,314088023
Soudan;3,581160528
Sénégal;3,086823701
Singapour;11,46338019
Îles Salomon;3,598950459
Sierra Leone;2,966556211
El Salvador;8,287090005
Saint-Marin;
Somalie;2,873310943
Serbie;18,34579269
Afrique subsaharienne (hors revenu élevé);2,987292174
Soudan du Sud;3,39848288
Afrique subsaharienne;2,987705607
Petits états;6,029569449
Sao Tomé-et-Principe;2,925678109
Suriname;6,906369902
République slovaque;15,6292465
Slovénie;19,60687965
Suède;20,09552493
Eswatini;4,014587941
Sint Maarten (Dutch part);
Seychelles;7,594545604
République arabe syrienne;4,503124421
Îles Turques-et-Caïques;
Tchad;2,480518944
Asie de l’Est et Pacifique (BIRD et IDA);9,498247565
Europe et Asie centrale (BIRD et IDA);12,57559892
Togo;2,869468011
Thaïlande;11,90089314
Tadjikistan;3,021887552
Turkménistan;4,426634462
Amérique latine et Caraïbes (BIRD et IDA);8,256209237
Timor-Leste;4,316492294
Afrique du Nord et Moyen-Orient (BIRD et IDA);5,40251473
Tonga;5,953661444
Asie du Sud (BIRD et IDA);5,840560482
Afrique subsaharienne (BIRD et IDA);2,987705607
Trinité-et-Tobago;10,73495352
Tunisie;8,315679079
Turquie;8,48321294
Tuvalu;
Tanzanie;2,601299178
Ouganda;1,94098692
Ukraine;16,43468644
Revenu intermédiaire, tranche supérieure;10,0379488
Uruguay;14,81451953
États-Unis;15,80765406
Ouzbékistan;4,419137878
Saint-Vincent-et-les Grenadines;9,589786863
Venezuela;7,26698662
Îles Vierges britanniques;
Îles Vierges (EU);19,28830722
Viet Nam;7,274978298
Vanuatu;3,640153068
Monde;8,873442244
Samoa;4,800411974
Kosovo;
Yémen, Rép. du;2,876269756
Afrique du Sud;5,318005005
Zambie;2,099678026
Zimbabwe;2,939523653
